CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES00XXXXXXXXXXXXXXDB;21/09/2015;5;0,127;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;6;0,101;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;7;0,092;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;8;0,313;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;9;0,366;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;10;0,702;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;11;0,79;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;12;0,194;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;13;0,108;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;14;0,502;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;15;0,227;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;16;0,164;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;17;0,207;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;18;0,145;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;19;0,089;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;20;0,243;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;21;0,635;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;22;0,277;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;23;0,898;R
ES00XXXXXXXXXXXXXXDB;21/09/2015;24;0,297;R
ES00XXXXXXXXXXXXXXDB;22/09/2015;1;0,157;R
ES00XXXXXXXXXXXXXXDB;22/09/2015;2;0,114;R
ES00XXXXXXXXXXXXXXDB;22/09/2015;3;0,097;R
ES00XXXXXXXXXXXXXXDB;22/09/2015;4;0,103;R
ES00XXXXXXXXXXXXXXDB;22/09/2015;5;0,102;R
ES00XXXXXXXXXXXXXXDB;22/09/2015;6;0,095;R
ES00XXXXXXXXXXXXXXDB;22/09/2015;7;0,105;R
ES00XXXXXXXXXXXXXXDB;22/09/2015;8;0,235;R
ES00XXXXXXXXXXXXXXDB;22/09/2015;9;0,319;R
ES00XXXXXXXXXXXXXXDB;22/09/2015;10;0,25;R
ES00XXXXXXXXXXXXXXDB;22/09/2015;11;0,583;R
ES00XXXXXXXXXXXXXXDB;22/09/2015;12;0,177;R
